,recipe_name,total_time,servings,ingredients,directions,nutrition
635,Easy Banana Brownies,50 mins,16,"½ cup unsalted butter, ⅔ cup semisweet chocolate chips, 1 large egg, ⅔ cup packed light brown sugar, 1 small ripe banana, mashed, ½ teaspoon vanilla extract, ¼ teaspoon salt, ¾ cup all-purpose flour","Preheat the oven to 325 degrees F (165 degrees C). Grease an 8-inch square baking pan.
Melt butter in a saucepan over medium-low heat. Remove from the heat and stir in chocolate chips until melted. Set aside to cool for 5 minutes.
While the chocolate mixture is cooling, lightly beat egg in a medium bowl. Stir in brown sugar, mashed banana, vanilla, and salt until well combined.
Stir cooled melted chocolate mixture into banana mixture until well combined. Stir in flour until just incorporated. Spread batter into the prepared pan.
Bake in the preheated oven until the top is dry and the edges have started to pull away from the sides of the pan, about 30 minutes.
Let pan cool on a wire rack before cutting into 16 squares.











Unknown
","Total Fat 8g 11%, Saturated Fat 5g 25%, Cholesterol 27mg 9%, Sodium 85mg 4%, Total Carbohydrate 19g 7%, Dietary Fiber 1g 3%, Total Sugars 14g, Protein 1g, Vitamin C 1mg 3%, Calcium 14mg 1%, Iron 1mg 3%, Potassium 73mg 2%"
639,Kiwi Banana Apple Smoothie,10 mins,2,"1  apple, roughly chopped, 1  banana, broken into chunks, 2  kiwifruit, peeled, 1 ¼ cups milk, ¼ cup ice, or as desired, 2 teaspoons chia seeds, 1 teaspoon maca powder","Blend apple, banana, kiwifruit, milk, ice, chia seeds, and maca powder together in a blender until smooth.","Total Fat 5g 6%, Saturated Fat 2g 11%, Cholesterol 12mg 4%, Sodium 67mg 3%, Total Carbohydrate 44g 16%, Dietary Fiber 7g 25%, Total Sugars 28g, Protein 8g, Vitamin C 78mg 388%, Calcium 227mg 17%, Iron 1mg 4%, Potassium 749mg 16%"
642,Fresh Fruit Tart with Mascarpone,45 mins,16,"2 cups all-purpose flour, 1 cup butter, softened, ½ cup white sugar","Preheat the oven to 350 degrees F (175 degrees C). Lightly grease 2 tart pans.
Blend flour, butter, and sugar together in a bowl using an electric mixer until combined. Divide mixture evenly and press into the bottoms of the prepared tart pans.
Bake in the preheated oven until golden brown, 12 to 15 minutes. Let cool completely.
While crusts are cooling, beat cream cheese, mascarpone cheese, sugar, vanilla extract, nutmeg, and cinnamon together in a bowl using an electric mixer until light and fluffy. Spread mixture over cooled crusts. Arrange strawberries, blackberries, and kiwis on tart in desired design.
Mix sugar and cornstarch together in a small saucepan. Pour in water and lemon juice. Cook over medium heat until clear and thick, about 2 minutes. Let glaze cool completely.
Glaze the entire top of each tart gently using a pastry brush.","Total Fat 23g 30%, Saturated Fat 14g 70%, Cholesterol 63mg 21%, Sodium 132mg 6%, Total Carbohydrate 43g 16%, Dietary Fiber 2g 8%, Total Sugars 28g, Protein 4g, Vitamin C 28mg 141%, Calcium 51mg 4%, Iron 1mg 6%, Potassium 141mg 3%"
643,Poblano and Ground Pork Tacos,40 mins,6,"1  red onion, halved and thinly sliced, 1  Roma tomato, seeded and finely chopped, 1  ripe kiwi, diced, 1  lime, quartered, divided, 2 tablespoons chopped cilantro, divided,   salt and ground black pepper to taste, 4 tablespoons sour cream,   olive oil, 1  poblano pepper - cored, seeded, and finely chopped, 10 ounces ground pork, 1 tablespoon Mexican seasoning, 2 tablespoons chicken stock, 1 tablespoon tomato paste, 6  flour tortillas","Mince a few slices of onion to get 1 tablespoon. Add minced onion, tomato, kiwi, juice from 2 lime wedges, 3/4 of the cilantro, salt, and pepper to a small bowl. Mix into a salsa.
Juice 1/4 of the lime into another small bowl; mix in sour cream to make the crema.
Heat olive oil in a large pan over medium-high heat. Add sliced onion and poblano pepper. Cook, tossing occasionally, until softened and lightly charred, 3 to 4 minutes. Add pork and Mexican seasoning. Cook until pork is browned throughout, 4 to 5 minutes. Reduce heat to medium-low. Add chicken stock, tomato paste, salt, and pepper. Cook and stir until everything is coated, 1 to 2 minutes.
Wrap tortillas in a damp cloth and microwave for 30 seconds. Divide tortillas over plates; spread cream on top. Top tortillas with pork mixture and salsa. Garnish with remaining cilantro.","Total Fat 17g 22%, Saturated Fat 6g 28%, Cholesterol 35mg 12%, Sodium 660mg 29%, Total Carbohydrate 45g 16%, Dietary Fiber 4g 13%, Total Sugars 5g, Protein 15g, Vitamin C 25mg 125%, Calcium 127mg 10%, Iron 3mg 17%, Potassium 394mg 8%"
644,"Strawberry, Kiwi, and Spinach Salad",15 mins,8,"2 tablespoons raspberry vinegar, 2 ½ tablespoons raspberry jam, ⅓ cup vegetable oil, 8 cups spinach, rinsed and torn into bite-size pieces, ½ cup chopped walnuts, 8  strawberries, quartered, 2  kiwis, peeled and sliced","Mix together raspberry vinegar, raspberry jam, and vegetable oil in a small container.
Combine spinach, nuts, strawberries, and kiwi in a salad bowl. Toss with raspberry dressing.","Total Fat 14g 18%, Saturated Fat 2g 9%, Sodium 25mg 1%, Total Carbohydrate 10g 4%, Dietary Fiber 2g 7%, Total Sugars 7g, Protein 2g, Vitamin C 33mg 164%, Calcium 46mg 4%, Iron 1mg 7%, Potassium 279mg 6%"
645,Supreme Green Smoothie,5 mins,3,"2 cups Almond Breeze Hint of Honey almondmilk, 1 cup green grapes, 2 cups packed baby kale, 1 large kiwi fruit, peeled and chopped, 1 (10 ounce) package frozen pineapple chunks",Place all ingredients in large blender container in order given. Cover; blend on high 15 to 20 seconds or until completely smooth. Pour into glasses.,"Total Fat 3g 3%, Saturated Fat 0g 1%, Sodium 123mg 5%, Total Carbohydrate 45g 17%, Dietary Fiber 3g 12%, Protein 3g, Potassium 488mg 10%"
649,Caribbean Health Drink,10 mins,2,"1 cup chopped carrot, 1  banana, 1  kiwi, peeled, 1  apple - peeled, cored, and sliced, 1 cup chopped pineapple, 1 cup ice cubes","Blend the carrot, banana, kiwi, apple, pineapple, and ice cubes in a blender until smooth.","Total Fat 1g 1%, Saturated Fat 0g 1%, Sodium 47mg 2%, Total Carbohydrate 45g 17%, Dietary Fiber 7g 26%, Total Sugars 29g, Protein 2g, Vitamin C 86mg 429%, Calcium 52mg 4%, Iron 1mg 4%, Potassium 695mg 15%"
650,Spicy Fruit Salsa,15 mins,12,"5  kiwis, peeled and diced, 1 quart strawberries, finely chopped, 1 pint fresh blackberries, chopped, 4  Granny Smith apples - peeled, cored and coarsely shredded, 2 tablespoons any flavor fruit jelly, ¾ cup brown sugar, 1 tablespoon cayenne pepper, 3 tablespoons habanero hot sauce, 1 (7 ounce) can green salsa, ⅓ cup lime juice","Place kiwis, strawberries, blackberries, and apples in a bowl. Stir in jelly, brown sugar, cayenne pepper, hot sauce, green salsa, and lime juice. Stir together.","Total Fat 1g 1%, Sodium 149mg 6%, Total Carbohydrate 34g 12%, Dietary Fiber 4g 15%, Total Sugars 27g, Protein 1g, Vitamin C 71mg 356%, Calcium 42mg 3%, Iron 1mg 4%, Potassium 307mg 7%"
652,White Sangria with Kiwi,20 mins,8,"1 (750 milliliter) bottle Chardonnay wine, 1 liter club soda, 3 tablespoons orange-flavored liqueur (such as Cointreau®), 2 tablespoons white sugar, 1 cup seedless green grapes, 2  kiwis, peeled and sliced, 1 large pear, thinly sliced,   ice cubes, 8 sprigs mint","Mix Chardonnay wine, club soda, orange-flavored liqueur, sugar, grapes, kiwis, and pear in a large pitcher. Stir until sugar is dissolved. Pour wine mixture into wine glasses filled with ice, making sure each glass has some fruit. Garnish with mint sprigs.","Total Fat 0g 0%, Sodium 10mg 0%, Total Carbohydrate 19g 7%, Dietary Fiber 2g 6%, Total Sugars 14g, Protein 1g, Vitamin C 22mg 112%, Calcium 29mg 2%, Iron 1mg 3%, Potassium 200mg 4%"
653,Strawberry Kiwi Tartlets,55 mins,12,"1  egg, 2 teaspoons water, 12  frozen puff pastry shells, thawed, ⅓ cup strawberry preserves, 2 pints fresh strawberries, sliced, 4  kiwis, peeled and seeded, 2 tablespoons honey, ½ cup heavy cream, 2 teaspoons confectioners' sugar","Beat together the egg and water in a bowl. Brush the puff pastry shells with the egg mixture, and bake shells according to package directions.
Melt the preserves in a saucepan over low heat. Remove from heat, and stir in the strawberry slices.
In a food processor, blend the kiwis and honey until smooth. In a large bowl, beat together the cream and sugar until stiff peaks form.
Fill each puff pastry shell with strawberries, drizzle with kiwi sauce, and top with whipped cream to serve.","Total Fat 17g 22%, Saturated Fat 6g 30%, Cholesterol 29mg 10%, Sodium 241mg 10%, Total Carbohydrate 34g 12%, Dietary Fiber 3g 10%, Total Sugars 16g, Protein 5g, Vitamin C 59mg 293%, Calcium 27mg 2%, Iron 2mg 11%, Potassium 185mg 4%"
654,LaWanna's Mango Salsa on Tilapia Fillets,40 mins,4,"½  fresh pineapple - peeled, cored, and chopped, ½ pound strawberries, quartered, 3  kiwifruit, peeled and diced, 1 large mango - peeled, seeded and diced, ½ cup grape tomatoes, 2 tablespoons finely chopped fresh cilantro, 1 tablespoon balsamic vinegar, 1 ½ pounds tilapia fillets, ½ teaspoon seasoned pepper blend","In a bowl, toss together the pineapple, strawberries, kiwifruit, mango, tomatoes, cilantro, and balsamic vinegar.
Spray a skillet with cooking spray, and heat over medium-high heat. Sprinkle tilapia fillets with seasoned pepper blend, and pan-fry until fish turns white and opaque, 2 to 3 minutes per side. Serve fish topped with salsa.","Total Fat 3g 4%, Saturated Fat 1g 3%, Cholesterol 63mg 21%, Sodium 84mg 4%, Total Carbohydrate 35g 13%, Dietary Fiber 5g 19%, Total Sugars 26g, Protein 37g, Vitamin C 140mg 702%, Calcium 100mg 8%, Iron 1mg 6%, Potassium 1190mg 25%"
656,Creamy Kiwi Sandwich,20 mins,8,"1 (8 ounce) package Neufchatel cheese, 2 teaspoons lemon zest, finely chopped, 2 tablespoons honey, or to taste, 1 cup chopped kiwi fruit, 16 slices whole wheat bread","In a small bowl, mix together Neufchatel cheese, lemon zest, and honey. Refrigerate for 1 day to allow the flavors to develop.
Spread about 2 tablespoons of the sweetened Neufchatel cheese over one side of a slice of bread. Top with about 2 tablespoons of chopped kiwi fruit, and another slice of bread. Repeat with remaining ingredients to make 8 sandwiches in all.","Total Fat 9g 11%, Saturated Fat 5g 23%, Cholesterol 21mg 7%, Sodium 381mg 17%, Total Carbohydrate 32g 12%, Dietary Fiber 5g 16%, Total Sugars 10g, Protein 10g, Vitamin C 21mg 106%, Calcium 90mg 7%, Iron 2mg 9%, Potassium 245mg 5%"
658,Strawberry-Kiwi Slush,5 mins,3,"2 cups crushed ice, ¾ pint fresh strawberries, hulled, ¾ cup grape juice (such as Welch's®), 1 large kiwi fruit, peeled, ¼ cup water, ¼ cup lemon juice","Blend ice, strawberries, grape juice, kiwi fruit, water, and lemon juice in a blender until it reaches an even slush consistency, 25 to 35 seconds.","Total Fat 1g 1%, Sodium 5mg 0%, Total Carbohydrate 23g 8%, Dietary Fiber 3g 10%, Total Sugars 17g, Protein 1g, Vitamin C 90mg 450%, Calcium 32mg 2%, Iron 1mg 3%, Potassium 340mg 7%"
660,Simple Strawberry Salsa,45 mins,10,"1 tablespoon lemon juice, 1 ½ teaspoons white sugar, 1 cup finely chopped strawberries, 1 (8 ounce) can unsweetened crushed pineapple, drained, 3  kiwis, peeled and finely chopped, 1  naval orange, peeled and cut into small pieces","Stir lemon juice and sugar together in a bowl to dissolve the sugar; add strawberries, pineapple, kiwis, and orange pieces and stir to coat in the lemon juice mixture.
Cover bowl with plastic wrap and refrigerate at least 30 minutes.","Total Fat 0g 0%, Sodium 1mg 0%, Total Carbohydrate 11g 4%, Dietary Fiber 2g 6%, Total Sugars 8g, Protein 1g, Vitamin C 42mg 211%, Calcium 20mg 2%, Iron 0mg 1%, Potassium 154mg 3%"
661,Kale with Kiwi,30 mins,2,"2 teaspoons coconut oil, 2 cloves garlic, chopped, 1 teaspoon minced fresh ginger, ¼ teaspoon sea salt, ½ teaspoon freshly ground black pepper, 2  kiwis, peeled and coarsely chopped, 1 tablespoon fresh oregano leaves, 1 bunch lacinato (dinosaur) kale, washed and sliced thin, 2 tablespoons blanched slivered almonds","Heat coconut oil in a skillet over medium-high heat. Add garlic, ginger, sea salt and freshly ground black pepper; cook and stir until garlic begins to turn color, about 3 minutes. Stir in chopped kiwi and oregano leaves and cook for another 2 minutes. Add kale; lower heat to medium and cook until kale is dark green and tender, about 5 minutes. Stir in slivered almonds and adjust seasonings to taste.","Total Fat 10g 13%, Saturated Fat 5g 23%, Sodium 381mg 17%, Total Carbohydrate 33g 12%, Dietary Fiber 7g 25%, Total Sugars 7g, Protein 9g, Vitamin C 364mg 1,821%, Calcium 519mg 40%, Iron 10mg 56%, Potassium 1322mg 28%"
662,Crazy Fruit Smoothie,10 mins,1,"1 ½ cups crushed ice, 1  banana, chopped, 1  kiwi, peeled and chopped, ½ cup chopped strawberries, ½ cup chopped pineapple, ¼ cup cream of coconut, 1 tablespoon coconut flakes for garnish","Blend the ice, banana, kiwi, strawberries, pineapple, and cream of coconut in a blender until smooth; pour into a glass and garnish with the coconut flakes to serve.","Total Fat 2g 3%, Saturated Fat 1g 7%, Sodium 18mg 1%, Total Carbohydrate 57g 21%, Dietary Fiber 8g 30%, Total Sugars 35g, Protein 3g, Vitamin C 164mg 819%, Calcium 55mg 4%, Iron 1mg 7%, Potassium 878mg 19%"
663,Healthier Absolutely the Best Chocolate Chip Cookies,30 mins,24,"½ cup butter, 1  kiwi, pureed, ½ cup brown sugar, ½ cup white sugar, 2  eggs, 2 teaspoons Mexican vanilla extract, 2 ¼ cups all-purpose flour, 1 teaspoon baking soda, 1 cup toasted oat cereal (such as Cheerios ®), smashed, 2 cups milk chocolate chips","Preheat oven to 350 degrees F (175 degrees C). Grease two baking sheets.
Cream together the butter, kiwi, brown sugar and white sugar in a large bowl, until light and fluffy. Add the eggs one at a time, beating well with each addition, then stir in the vanilla extract. Combine flour, baking soda, and toasted oat cereal in a bowl; gradually stir into the creamed mixture. Finally, fold in the chocolate chips. Drop by rounded spoonfuls onto the prepared baking sheets.
Bake in preheated oven until light brown, about 8 to 10 minutes. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely.","Total Fat 9g 12%, Saturated Fat 5g 27%, Cholesterol 30mg 10%, Sodium 119mg 5%, Total Carbohydrate 28g 10%, Dietary Fiber 1g 2%, Total Sugars 17g, Protein 3g, Vitamin C 3mg 16%, Calcium 34mg 3%, Iron 1mg 6%, Potassium 43mg 1%"
664,Fruit Pizza Trifles To Go,1 hrs,25,"4 (8 ounce) packages reduced-fat cream cheese, softened, 2 cups brown sugar, 4 teaspoons vanilla extract, 1 pound fresh strawberries, coarsely chopped , 1  fresh pineapple - peeled, cored and chopped, 1 pound seedless grapes, halved, 1 pint blueberries, 25  clear, plastic (10 ounce) cups, 12  sugar cookies, crushed, 2  kiwis, peeled and sliced","Mix cream cheese, brown sugar, and vanilla extract in a bowl until smooth. Refrigerate until cold, about 30 minutes.
In a separate bowl, lightly mix together the chopped strawberries, pineapple, grapes, and the blueberries.
Scoop about 3 tablespoons of the cream cheese mixture into the bottom of each plastic cup to make a half-inch thick layer. Spoon enough mixed fruit on top of the cream cheese to make a 2-inch layer, about 1/3 cup. Top the fruit with a teaspoon or two of crumbled sugar cookies. Garnish each trifle with a kiwi slice. Refrigerate until serving time.","Total Fat 8g 11%, Saturated Fat 5g 23%, Cholesterol 24mg 8%, Sodium 138mg 6%, Total Carbohydrate 34g 12%, Dietary Fiber 2g 7%, Total Sugars 23g, Protein 5g, Vitamin C 46mg 228%, Calcium 67mg 5%, Iron 1mg 7%, Potassium 231mg 5%"
665,Sweet Salsa and Cinnamon Chips,30 mins,5,"10  frozen strawberries, 2  kiwi, peeled and chopped, ½ medium mango - peeled and diced, 1 ½  bananas, peeled and diced, 3 (12 inch) flour tortillas,   canola cooking spray, 1 cup cinnamon sugar","Preheat oven to 400 degrees F (200 degrees C).
Combine the kiwi, mango, and banana in a bowl. Process the strawberries in a blender until they are liquefied and pour over fruit mixture. Stir to coat and refrigerate.
Coat both sides of each tortilla with the cooking spray. Cut them into triangle-shaped wedges and place on a baking sheet. Sprinkle cinnamon sugar evenly over the chips. Bake in preheated oven until golden-brown, about 10 minutes. Allow to cool and serve with the fruit mixture.","Total Fat 6g 7%, Saturated Fat 1g 7%, Sodium 450mg 20%, Total Carbohydrate 94g 34%, Dietary Fiber 5g 17%, Total Sugars 12g, Protein 7g, Vitamin C 45mg 225%, Calcium 108mg 8%, Iron 3mg 15%, Potassium 392mg 8%"
666,Tart Tropical Parfait,5 mins,1,"1 (5.3 ounce) container low-fat vanilla Greek yogurt, ½ cup chopped kiwi, 2 tablespoons chopped macadamia nuts, 1 teaspoon agave nectar, 1 teaspoon chopped fresh mint","Spoon 1/3 cup yogurt into a 6- to 8-ounce parfait glass or jar. Top yogurt with 1/2 of the kiwi, 1/2 of the macadamia nuts, 1/2 of the agave. Repeat layers with the remaining yogurt, kiwi, nuts, and agave. Top parfait with mint.","Total Fat 13g 17%, Saturated Fat 2g 11%, Cholesterol 9mg 3%, Sodium 74mg 3%, Total Carbohydrate 37g 13%, Dietary Fiber 4g 16%, Total Sugars 28g, Protein 15g, Vitamin C 83mg 413%, Calcium 46mg 4%, Iron 1mg 5%, Potassium 339mg 7%"
668,Jicama Mango Salad with Cilantro and Lime,45 mins,8,"1 large jicama, peeled and cut into matchsticks, 1 small red bell pepper, cut into matchsticks, 1 large firm mango, peeled and cut into matchsticks, ½  red onion, cut into matchsticks","Toss jicama, red pepper, mango, and red onion together in a large bowl. Set aside.
Stir cilantro, lime juice, honey, salt, and cayenne pepper together in a bowl.
Pour the cilantro mixture over the jicama mixture and toss to coat. Cover the bowl with plastic wrap and refrigerate for at least 15 minutes.","Total Fat 0g 0%, Saturated Fat 0g 1%, Sodium 300mg 13%, Total Carbohydrate 32g 11%, Dietary Fiber 9g 32%, Total Sugars 18g, Protein 2g, Vitamin C 58mg 292%, Calcium 32mg 2%, Iron 1mg 7%, Potassium 354mg 8%"
